USER_ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Q12S1,Q13,Q13S1,Q13S2,Q14,Q14S1,Q15,Q15S1,Q15S2,Q61,gender,age,chiiki
1486,2,3,2,7,60,10,50,50,30,50,70,20,50,50,40,50,2,2,2,2,1,8,NA,1,0,1,0,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,4,2,27,43
1487,3,3,3,8,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,1,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,51,35
1488,3,1,2,3,0,40,0,40,60,20,10,40,10,30,80,50,3,3,3,5,5,5,2,NA,1,0,1,0,0,0,0,0,2,NA,NA,1,5,5,1,NA,1,2,2,2,2,71,15
1489,3,3,1,8,45,0,0,50,20,0,30,0,0,50,20,0,5,1,2,2,2,8,NA,8,0,1,1,0,1,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,4,1,43,14
1490,3,3,1,8,0,50,5,5,5,5,0,50,0,5,0,0,5,5,5,5,5,2,2,NA,1,0,1,0,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,2,1,3,2,28,14
1491,3,3,2,5,25,50,25,25,75,50,25,50,25,50,75,50,4,4,4,4,5,8,NA,8,1,0,0,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,1,3,3,2,2,66,34
1492,2,3,2,7,50,50,0,0,50,50,0,0,0,0,50,50,3,3,3,3,3,6,2,NA,0,1,1,1,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,4,1,53,27
1493,3,3,2,5,40,50,55,50,30,20,40,40,50,50,30,20,3,3,3,3,3,3,2,NA,0,0,0,0,1,0,1,0,3,NA,NA,1,2,3,2,1,1,8,7,4,1,62,40
1494,3,3,2,3,65,25,70,50,60,50,70,25,75,40,30,0,3,2,3,4,2,3,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,1,3,2,1,1,3,3,2,1,32,22
1495,2,2,2,7,0,75,50,50,50,50,25,50,50,50,50,50,4,4,4,4,5,8,NA,8,1,0,0,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,2,2,52,40
