TempKyosan,Female,Age,Satisfaction,Interest,Ideology
5,0,53,1,3,6
50,1,42,3,1,9
5,0,39,3,4,10
70,1,74,1,3,6
0,0,43,1,1,10
0,0,33,3,2,7
45,0,70,1,4,4
10,0,75,3,3,9
0,0,34,3,2,8
0,1,70,3,3,8
50,0,41,3,3,4
60,1,50,3,1,6
0,0,60,3,3,6
20,1,56,1,2,9
50,0,48,3,1,4
5,0,40,1,3,5
10,0,49,1,3,6
10,0,61,2,3,5
0,0,47,3,3,11
25,0,35,2,3,6
50,0,43,1,3,4
40,0,42,4,3,8
50,1,54,3,2,6
20,0,54,4,4,8
40,0,74,2,3,4
0,1,45,1,3,7
100,1,71,1,3,3
50,0,47,2,3,4
10,0,66,2,2,6
50,1,42,2,3,6
50,0,38,3,2,4
50,0,52,1,3,5
0,0,71,2,4,10
60,1,60,3,2,4
0,0,45,2,2,5
50,1,52,3,3,6
50,0,58,1,3,6
50,0,36,1,2,4
50,1,44,1,3,9
0,1,41,4,3,8
25,0,50,4,3,9
50,1,51,3,2,9
10,1,70,2,3,6
0,0,38,4,4,11
40,1,40,2,2,7
0,1,75,1,3,6
0,0,74,2,3,6
10,1,53,2,1,6
0,0,46,3,3,7
50,0,56,1,2,5
10,0,70,1,4,8
0,0,55,4,3,10
35,0,56,1,3,5
50,1,67,1,3,4
0,0,39,1,1,6
20,1,39,4,1,9
10,0,43,4,3,8
40,0,48,1,4,6
10,1,63,2,4,6
25,1,32,3,1,6
50,1,52,1,3,6
20,1,63,3,2,9
10,1,28,2,3,4
10,1,61,1,3,5
5,0,43,1,2,8
10,0,29,3,3,7
50,0,35,3,2,4
50,1,53,2,2,6
50,0,38,2,2,5
10,1,27,2,3,4
0,0,73,4,4,9
50,0,52,1,4,6
10,0,39,2,3,6
0,0,58,2,1,4
25,0,47,1,1,6
0,1,44,3,3,6
60,0,70,2,3,5
0,0,68,1,3,7
50,1,58,3,2,6
40,1,74,3,2,10
30,0,63,1,4,5
40,0,60,2,3,8
50,1,32,3,2,6
50,1,53,3,2,6
20,0,61,1,3,4
40,1,70,4,2,8
50,0,62,1,4,6
50,0,54,2,2,6
0,1,49,1,1,11
0,0,36,2,1,5
20,1,64,1,3,8
5,0,53,3,3,8
10,0,70,1,3,5
10,0,56,1,4,6
60,1,66,4,3,9
50,1,47,3,3,6
0,1,70,1,3,6
10,1,55,2,2,9
0,1,75,4,3,9
10,0,62,3,4,8
0,1,33,3,3,7
1,0,36,3,2,6
55,0,46,2,3,6
60,1,64,1,3,3
0,0,69,2,2,8
10,0,52,3,3,6
50,0,68,1,4,8
0,0,35,3,3,3
0,0,71,4,3,10
1,1,35,3,3,6
0,0,45,2,3,6
0,0,42,2,2,1
0,1,60,5,4,6
25,0,62,2,4,6
0,1,47,1,3,4
20,1,51,2,3,6
10,1,47,3,3,10
0,1,72,1,4,8
0,1,58,2,2,6
10,1,37,3,3,7
30,0,43,3,3,6
70,0,49,1,4,3
10,0,57,1,2,4
0,1,42,3,2,6
50,1,56,2,2,9
0,0,68,4,2,10
0,0,44,1,1,5
50,0,47,3,3,6
22,1,51,2,2,7
20,0,71,1,2,3
10,1,72,1,4,2
50,1,59,1,4,3
30,1,63,2,3,5
20,1,70,1,4,6
70,0,53,2,4,6
10,1,46,3,3,6
50,1,51,3,3,7
50,1,70,1,4,5
10,1,64,3,2,7
50,1,73,1,3,5
10,1,43,4,3,6
20,0,35,3,3,8
20,1,75,5,3,8
0,0,72,4,4,9
50,1,49,2,2,6
0,0,54,2,2,7
50,1,71,2,3,5
0,0,70,3,2,4
60,0,60,1,4,1
0,1,60,3,4,10
0,1,64,3,2,6
0,0,51,1,3,5
0,1,40,3,2,6
20,1,67,2,3,6
0,1,43,1,2,6
10,1,45,3,3,7
0,1,32,3,1,7
50,1,50,3,1,6
100,0,60,1,4,1
0,0,36,3,2,4
0,1,55,3,3,6
50,1,39,3,3,1
0,1,54,1,3,8
5,0,67,2,3,7
0,0,34,2,3,4
0,0,67,1,3,4
60,1,68,1,3,7
20,1,35,3,1,8
0,0,75,4,4,9
10,0,56,1,3,7
60,1,64,2,3,7
50,1,30,2,3,5
5,0,29,4,3,7
10,1,48,3,2,3
30,1,55,3,3,6
50,1,74,2,4,8
50,1,54,2,1,7
0,0,58,1,3,8
30,1,62,2,3,4
0,0,29,1,3,3
80,1,70,1,3,4
0,0,47,4,3,8
50,1,51,2,2,8
0,0,65,3,4,9
25,0,40,1,3,4
0,0,70,3,3,6
20,1,56,2,2,5
