fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
0,55,NA,NA,1,6,2,4,4,2,4
0,55,2,8,2,2,3,4,3,3,4
0,54,5,8,1,4,3,5,5,4,4
1,50,5,6,1,2,4,4,5,3,4
1,71,4,1,3,5,3,3,3,3,3
0,56,5,13,3,4,3,4,4,4,4
1,75,2,3,3,2,3,3,3,2,3
0,44,5,12,2,4,4,4,4,4,4
0,73,5,6,1,1,1,2,3,2,3
1,67,5,3,1,3,4,4,4,4,4
1,76,5,13,2,1,3,3,3,3,2
1,76,5,6,3,2,3,5,5,4,4
0,59,5,19,2,3,3,3,3,3,3
1,52,5,9,2,5,5,5,5,5,5
1,49,4,1,1,2,3,3,3,3,3
1,42,4,1,1,2,3,3,3,3,3
1,56,3,1,1,4,3,4,4,3,3
1,25,5,NA,1,5,5,5,4,5,5
1,58,4,1,2,1,3,2,3,3,3
0,33,5,10,1,4,3,3,3,3,3
1,54,4,1,3,4,3,4,4,4,3
0,41,4,11,2,1,4,4,5,5,4
1,66,5,NA,3,6,3,3,4,3,3
0,74,5,7,3,6,4,4,4,4,4
1,73,2,3,3,2,2,2,3,3,3
0,67,5,14,1,6,3,3,4,3,3
0,38,2,NA,1,5,3,4,4,3,4
1,37,5,8,1,4,4,4,4,4,4
0,64,5,7,2,3,3,5,4,3,3
0,63,2,6,3,2,3,4,4,4,3
0,70,5,NA,3,3,4,4,4,3,3
1,44,2,3,1,4,4,4,3,4,3
1,56,2,NA,1,2,4,4,4,4,4
0,79,2,9,3,2,3,4,4,4,3
1,52,3,1,1,2,3,4,4,3,4
1,79,3,2,3,1,4,3,4,4,4
0,27,5,6,1,6,3,4,4,4,3
0,40,5,NA,1,5,4,3,3,4,4
1,68,2,1,3,3,3,3,3,3,4
1,53,4,3,3,4,2,3,3,1,3
1,33,5,7,2,3,4,4,4,4,5
0,27,5,NA,1,4,3,4,4,4,4
0,26,2,1,1,3,3,3,3,3,4
1,56,4,3,3,4,3,4,4,3,4
1,48,5,4,1,4,5,4,3,4,4
0,27,4,8,1,2,2,4,3,4,3
0,55,5,1,1,4,2,2,3,3,3
0,61,5,11,2,4,4,5,5,5,4
0,57,5,13,2,2,2,4,4,2,4
0,72,5,7,2,4,4,4,4,4,4
0,58,5,13,2,5,4,4,5,1,4
0,64,5,NA,2,3,3,3,3,3,3
0,58,2,NA,1,2,2,3,3,3,3
0,68,2,5,1,2,4,4,4,3,3
0,69,6,NA,3,4,4,4,4,3,4
0,57,3,14,1,3,5,4,5,5,5
0,70,5,NA,3,5,4,3,3,3,3
1,54,4,1,2,1,3,3,3,3,3
1,62,4,1,1,2,3,3,4,3,3
1,41,6,13,1,2,3,4,4,3,3
0,67,2,5,3,2,3,4,4,3,3
0,31,5,4,1,6,1,5,1,1,1
1,44,2,6,1,4,3,3,3,2,3
0,49,5,10,2,3,3,4,4,2,3
1,54,5,7,1,3,4,4,4,3,4
0,25,5,NA,1,3,1,3,3,1,1
0,62,6,6,2,2,4,4,4,3,2
1,75,4,6,3,2,4,4,4,4,4
0,63,5,7,2,2,3,4,4,3,4
0,71,5,5,1,1,2,3,4,2,3
1,45,5,1,1,3,4,4,4,4,3
1,71,5,3,1,3,4,5,5,3,3
1,56,5,4,1,3,3,3,3,2,3
1,61,4,7,1,4,3,3,2,2,3
1,65,2,6,1,2,3,4,4,3,5
1,39,5,9,2,3,3,2,4,3,3
1,52,4,6,2,2,4,4,4,4,4
1,66,2,7,3,2,3,3,3,3,4
0,53,6,13,1,7,3,3,3,3,4
1,54,5,10,2,3,5,4,5,4,4
0,27,6,9,1,4,4,4,2,4,5
0,38,2,NA,1,5,3,4,5,3,4
0,23,5,8,1,5,4,5,2,4,5
0,60,5,13,1,4,4,5,5,3,3
0,49,5,11,2,3,3,3,4,3,3
1,65,4,NA,3,2,3,4,4,3,2
0,53,2,NA,1,1,3,3,4,3,3
1,69,2,3,3,2,2,4,3,2,3
1,66,2,4,3,2,2,3,4,2,2
1,77,4,6,2,2,3,3,4,3,3
0,36,5,11,2,2,4,4,4,4,4
1,63,5,1,3,1,3,4,4,3,4
0,48,5,13,1,4,2,4,4,4,3
1,74,2,7,3,6,3,3,3,3,3
0,68,5,NA,1,1,4,4,4,4,4
0,28,5,8,1,3,4,5,3,4,2
0,54,5,14,2,4,4,5,4,4,1
1,31,5,8,1,1,3,4,4,4,4
0,77,5,10,1,2,3,4,4,3,4
1,68,5,5,3,2,3,5,5,3,3
0,53,5,9,2,3,4,4,4,4,2
1,58,4,NA,1,2,3,4,4,3,3
1,56,2,6,3,1,3,5,5,4,3
1,74,2,6,1,4,3,3,3,3,4
0,54,5,7,1,2,4,3,3,4,4
1,58,4,4,2,2,4,4,4,4,3
0,65,5,6,2,4,2,2,2,2,3
