Temp_Rikken,Ideology,Interest,Gender,Age,Education,Job,Income
0,9,2,2,70,3,4,2516670
10,6,2,2,34,2,1,6376438
50,5,2,2,71,2,4,6343002
30,6,2,2,52,3,1,4564501
30,8,2,1,56,4,1,8734703
50,8,4,2,29,4,1,4744833
20,5,3,2,54,2,4,4481379
20,8,2,1,34,4,1,9694913
40,6,2,2,50,3,1,886110
20,8,2,1,37,4,1,9577039
0,1,4,1,65,4,6,1087733
10,9,2,2,68,3,4,3638327
10,6,3,2,52,3,5,6441665
25,6,2,1,55,4,1,4492023
40,9,1,1,73,4,2,2624283
75,6,3,1,28,1,6,971061
50,8,2,1,45,3,1,8604850
80,5,2,2,44,3,4,7518307
60,5,3,2,54,4,4,16943606
80,6,3,2,48,2,1,4600295
40,6,3,2,52,3,1,2374143
0,1,4,1,53,3,1,12971100
0,9,1,1,48,4,1,9519845
50,5,2,2,32,4,4,2595838
40,4,3,2,37,4,1,8503734
80,1,2,2,58,3,5,2394235
80,4,1,1,67,4,5,2569904
40,7,3,2,35,4,1,2545493
50,6,2,1,68,4,1,969357
5,8,2,1,36,4,1,1069886
50,6,2,2,57,4,1,13036326
10,10,2,1,53,4,1,25133488
70,3,1,2,75,2,5,938889
0,10,1,2,64,3,4,8528384
40,6,2,2,45,3,4,9571251
50,6,3,2,49,3,2,2392758
0,6,1,2,45,4,1,9429212
75,9,1,1,56,4,1,9497807
50,8,2,2,34,3,1,8621213
40,4,1,2,42,2,4,11003281
40,5,2,1,52,4,1,3454021
50,9,2,1,46,4,1,4437808
20,6,4,2,36,4,1,4229428
0,8,3,1,32,2,1,9527152
0,8,2,1,36,3,1,3413984
70,7,1,1,54,4,1,10910509
10,6,2,1,52,4,1,8432931
0,6,4,2,30,3,5,3374880
30,3,3,1,25,3,1,3599768
10,7,2,1,33,2,1,6417694
0,10,1,1,67,4,5,2594403
50,6,3,1,36,4,5,877590
100,6,2,2,73,2,4,2457181
60,7,2,2,56,2,4,4524834
75,9,1,1,65,4,1,7457027
90,5,1,2,72,4,4,4540290
0,9,3,2,73,2,1,2525330
10,5,3,2,70,2,4,9341916
50,6,3,2,39,4,4,8526946
0,3,1,1,70,4,2,3586700
20,5,2,2,64,2,1,2522050
