Voted,Female,Age,Educ,Knowledge,Ideology
1,1,60,3,4,5
1,1,64,4,4,5
0,1,26,4,3,8
1,0,68,4,5,7
0,0,68,4,3,5
1,0,40,4,3,5
1,1,29,3,3,5
1,1,70,4,5,6
0,0,33,4,3,6
1,0,39,4,4,1
1,0,66,4,5,3
1,0,39,4,4,1
1,1,70,4,5,3
1,1,47,4,3,5
1,0,35,2,5,7
1,0,73,4,4,1
1,0,53,4,5,7
0,0,45,3,3,0
1,0,45,4,3,5
0,0,72,4,5,10
1,0,65,4,5,2
0,1,33,2,3,5
1,0,43,2,5,8
1,0,72,4,5,1
1,0,55,4,4,6
0,0,60,4,5,3
1,1,60,3,5,8
1,0,72,4,5,7
1,1,27,2,5,7
0,1,53,3,3,5
1,1,70,2,4,2
0,1,50,4,2,4
0,1,46,2,3,5
0,0,44,4,3,5
1,0,68,4,5,6
0,1,62,4,5,5
1,0,35,4,2,5
1,0,40,4,5,5
1,0,43,4,5,10
1,0,48,2,4,7
0,1,23,2,3,5
0,0,63,2,3,5
1,1,48,4,5,8
1,1,40,4,4,5
1,1,35,4,5,3
1,0,48,4,5,9
1,0,56,4,5,2
0,1,44,4,5,5
1,0,39,2,4,3
0,0,46,3,3,5
1,1,63,2,4,5
1,0,37,3,3,5
0,1,54,2,5,6
1,1,47,2,2,7
1,0,48,4,5,4
0,1,48,4,5,2
1,1,66,3,5,4
1,0,57,3,3,6
0,1,37,2,3,8
1,0,36,4,1,5
0,1,22,3,4,6
1,1,70,2,4,3
1,1,71,2,5,5
1,0,66,4,5,3
0,1,25,4,3,8
1,0,75,4,5,3
0,1,35,4,5,10
1,1,55,3,4,5
1,1,35,2,3,7
1,0,50,4,4,3
1,0,59,2,4,6
0,0,26,4,3,6
1,1,52,2,5,3
1,1,47,3,5,7
0,0,48,2,5,3
1,0,62,4,5,10
0,0,55,1,3,5
1,0,65,4,5,10
1,0,43,4,4,6
1,0,77,4,5,5
1,1,36,2,5,8
0,1,53,2,2,6
1,0,72,4,5,3
1,0,46,4,5,6
1,0,43,4,4,3
1,1,71,2,5,5
1,0,37,4,5,4
0,0,62,4,5,9
1,0,65,4,5,4
1,1,46,3,3,7
1,0,71,2,5,8
1,0,58,2,5,10
1,0,41,4,5,0
1,0,61,4,5,8
1,1,61,2,5,5
0,1,30,2,3,5
1,0,32,2,4,7
1,0,35,4,5,4
0,0,51,4,5,7
1,1,72,3,4,4
1,1,57,3,3,6
1,1,59,4,4,8
1,0,44,4,5,6
1,0,61,4,5,4
1,0,48,2,4,10
1,0,52,4,5,3
1,1,29,4,5,7
1,0,58,4,4,4
1,0,51,4,5,6
1,0,20,1,4,3
0,1,45,4,4,6
1,0,39,3,3,5
1,1,73,4,5,4
1,0,30,4,5,8
1,0,60,3,4,7
1,0,54,2,4,4
1,0,59,4,5,7
1,0,39,4,5,6
0,0,29,4,3,10
0,0,18,2,3,10
0,1,33,4,4,6
0,0,47,4,4,6
0,0,32,2,5,9
1,1,70,2,5,4
1,1,51,2,3,5
1,1,38,4,3,6
1,0,63,4,5,4
1,1,71,2,4,5
1,0,47,4,2,1
1,1,60,2,5,5
1,1,41,4,5,5
0,1,60,3,5,10
0,0,70,4,3,6
1,1,71,2,2,5
1,0,44,4,5,3
1,0,71,2,2,5
1,0,42,4,3,9
1,0,52,2,5,5
1,0,62,4,5,8
1,0,41,4,3,5
1,0,51,4,3,5
1,1,35,4,4,9
1,1,52,4,4,5
1,0,39,2,3,3
1,0,33,4,3,7
1,1,79,1,5,2
1,1,20,4,4,8
1,1,59,2,3,3
1,1,52,2,5,8
1,0,47,4,3,5
1,0,31,4,5,8
1,0,41,4,4,8
1,1,53,4,5,5
1,0,37,4,3,8
0,0,25,4,4,6
1,0,49,3,1,5
0,0,39,4,4,6
1,0,48,4,5,7
0,0,29,4,3,4
1,0,47,4,5,7
1,0,70,4,5,4
0,0,26,4,4,5
1,1,26,4,2,8
1,1,53,3,5,8
1,0,35,4,5,8
1,0,71,4,3,2
1,1,70,4,5,7
1,0,48,4,4,7
0,1,41,2,1,5
1,0,35,4,4,9
1,0,38,4,3,9
1,1,27,2,4,7
1,0,61,4,2,5
1,0,41,3,5,1
1,0,72,2,5,8
1,0,44,3,3,8
0,1,35,2,5,5
1,0,28,4,3,5
1,1,59,4,4,8
1,0,41,2,5,9
1,0,37,4,2,5
1,0,70,2,5,2
0,1,28,2,3,6
1,0,49,3,4,2
1,0,37,3,2,4
1,1,50,4,4,6
0,1,28,2,3,5
1,0,49,2,3,2
1,0,36,4,5,3
0,1,29,2,2,7
1,1,63,3,4,5
1,0,47,4,3,10
1,1,47,3,4,8
0,0,46,2,3,4
0,1,68,2,3,4
0,0,31,2,4,6
1,1,24,2,3,5
1,1,52,3,5,4
0,0,64,4,2,7
0,0,54,4,3,5
1,1,47,2,3,4
1,1,28,2,5,3
0,0,59,4,3,5
1,1,36,2,1,10
1,0,41,2,1,2
1,0,39,4,3,3
0,0,57,4,5,3
1,0,48,4,5,7
0,0,75,4,4,6
0,1,52,3,2,9
1,0,50,4,4,3
1,0,52,4,5,3
1,1,69,3,3,3
1,1,55,3,4,6
0,0,44,4,4,1
1,1,61,2,4,5
1,1,29,4,3,6
0,0,52,4,1,4
1,1,27,4,5,5
1,1,33,4,5,4
1,0,76,4,5,3
1,1,71,4,5,2
1,0,43,4,5,9
1,0,29,4,5,1
0,1,23,2,3,6
0,0,47,2,4,6
1,1,68,2,4,9
1,0,35,4,5,7
1,0,40,2,2,7
1,0,62,4,4,6
1,0,73,4,4,4
0,1,25,4,3,6
1,0,49,4,5,3
1,0,63,4,5,0
1,0,45,4,4,5
0,1,58,4,3,6
1,0,72,4,3,5
1,0,67,4,5,6
1,0,25,4,5,7
1,1,66,3,3,7
0,0,55,4,4,5
1,0,70,2,5,2
1,0,35,4,5,8
1,0,46,4,3,5
1,1,35,4,4,5
0,0,62,4,3,1
0,0,45,4,4,7
0,1,69,3,3,7
0,0,46,2,2,4
1,0,37,4,4,8
0,0,39,2,3,7
1,1,75,2,3,7
1,0,28,3,5,4
1,0,39,2,2,6
1,0,45,2,3,5
0,0,28,4,4,5
1,0,50,3,5,10
0,0,51,2,3,7
1,0,45,3,5,2
1,0,44,3,5,8
1,0,44,4,4,0
